station_name_nmbs,station_uic,avg_week,avg_sat,avg_sun
AALST,8895000,4.079,1.640,1.264
AALST-KERREBROEK,8895125,21,-,-
AALTER,8891140,1.353,472,458
AARSCHOT,8833209,2.485,1.259,872
AARSELE,8892288,21,-,-
ACREN,8886546,146,77,50
AISEAU,8874583,65,54,41
ALKEN,8831039,345,90,101
AMAY,8843331,204,80,48
AMPSIN,8843323,101,26,16
ANDENNE,8863404,1.082,334,367
ANGLEUR,8842002,448,87,129
ANS,8841202,605,113,87
ANSEREMME,8863818,55,60,34
ANTOING,8885522,222,74,88
ANTWERPEN-BERCHEM,8821121,9.322,5.008,4.918
ANTWERPEN-CAAL,8821006,18.626,13.566,10.187
ANTWERPEN-LUCHTBAL,8821063,393,98,50
ANTWERPEN-NOORDERDOKKEN,8821089,122,25,22
ANTWERPEN-ZUID,8821196,1.852,435,409
ANZEGEM,8892734,127,-,-
APPELTERRE,8895745,187,48,46
ARCADES,8814472,47,-,-
ARCHENNES,8811759,102,33,30
ARLON,8866001,2.269,690,2.032
ASSE,8812070,649,224,174
ASSESSE,8864931,143,33,32
ATH,8886009,3.665,1.699,1.860
ATHUS,8866605,769,311,152
AUBANGE,8866654,58,-,-
AUVELAIS,8874716,367,197,174
AYE,8864352,38,9,7
AYWAILLE,8842754,153,71,95
BAASRODE-ZUID,8822160,126,-,-
BALEGEM-DORP,8895257,165,42,33
BALEGEM-ZUID,8895240,116,-,-
BALEN,8832045,202,69,49
BAMBRUGGE,8895463,17,-,-
BARVAUX,8864451,209,96,114
BAS-OHA,8843430,44,5,11
BASSE-WAVRE,8811734,370,67,53
BEAURAING,8863867,209,102,99
BEERNEM,8891124,428,151,169
BEERSEL,8814423,229,43,43
BEERVELDE,8894151,148,42,29
BEGIJNENDIJK,8821865,162,88,67
BEIGNEE,8871183,9,-,-
BELLEM,8891157,91,40,25
BELSELE,8894433,168,55,33
BERCHEM-ST-AG.-BERCHEM,8812211,456,65,38
BERINGEN,8832235,69,36,21
BERLAAR,8821816,229,120,147
BERTRIX,8865300,312,135,119
BERZEE,8873320,132,19,20
BEUZET,8861424,85,22,5
BEVEREN,8894748,774,128,106
BEVERLO,8832227,84,37,23
BIERGES-WALIBI,8811718,106,314,289
BIERSET-AWANS,8841319,103,25,29
BILZEN,8831138,387,154,265
BINCHE,8882362,237,124,108
BISSEGEM,8896388,230,72,67
BLANKENBERGE,8891405,1.190,829,1.339
BLANMONT,8861531,135,19,13
BLATON,8884715,390,113,137
BLERET,8841434,36,-,-
BOCKSTAEL,8812021,404,59,41
BOECHOUT,8821634,380,125,92
BOITSFORT/BOSVOORDE,8811437,557,138,166
BOKRIJK,8831781,70,30,55
BOMAL,8864469,184,58,89
BOOISCHOT,8821857,160,95,67
BOOM,8822814,291,114,84
BOONDAEL/BOONDAAL,8814456,730,179,106
BOORTMEERBEEK,8822475,333,63,61
BORDET,8811163,862,152,77
BORNEM,8822772,539,183,204
BOUSSU,8884319,155,61,46
BOUWEL,8821725,274,101,144
BRACQUEGNIES,8881463,114,18,26
BRAINE-l'ALLEUD,8814258,3.921,1.792,1.235
BRAINE-LE-COMTE,8883006,3.354,1.150,822
BRESSOUX,8843901,52,29,24
BRU. AIRPORT - ZAVENTEM,8819406,2.240,1.354,1.187
BRU.-CENT.,8813003,28.212,13.407,12.417
BRU.-CHAP./KAP.,8813037,123,-,-
BRU.-CONG.,8813045,277,-,-
BRU.-LUXEMBG,8811304,4.529,1.454,1.194
BRU.-MIDI/ZUID,8814001,31.006,17.165,15.038
BRU.-NOORD/NORD,8812005,26.188,9.709,8.780
BRU.-SCHUMAN,8811916,4.439,1.456,1.351
BRU.-WEST/OUEST,8815040,132,53,45
BRUGELETTE,8886066,231,29,21
BRUGGE,8891009,9.964,5.880,6.513
BRUGGE-SINT-PIETERS,8891033,37,175,155
BUDA,8811148,57,-,-
BUGGENHOUT,8822145,363,116,183
BUIZINGEN,8814340,360,126,72
BURST,8895455,473,88,89
CALLENELLE,8884889,13,-,-
CAMBRON-CASTEAU,8886074,76,94,113
CARLSBOURG,8865565,29,17,16
CARNIERES,8882248,99,30,20
CEROUX-MOUSTY,8811817,119,24,17
CHAPELLE-DIEU,8861317,35,-,-
CHAPOIS,8864824,37,7,4
CHARLEROI-OUEST,8872066,45,19,13
CHARLEROI-SUD,8872009,7.062,3.249,3.058
CHASTRE,8861523,256,72,39
CHATEAU-DE-SEILLES,8863438,126,25,15
CHATELET,8874005,399,307,287
CHAUDFONTAINE,8842051,41,40,23
CHENEE,8842036,73,27,19
CINEY,8864501,1.527,720,782
COMBLAIN-LA-TOUR,8842838,82,20,27
COMINES/KOMEN,8896412,423,116,133
COO,8845229,31,41,37
COUILLET,8874054,54,-,-
COURCELLES-MOTTE,8871225,113,23,17
COURRIERE,8864949,185,33,32
COUR-SUR-HEURE,8873379,24,5,5
COURT-SAINT-ETIENNE,8811825,283,59,42
COUVIN,8875127,174,92,96
DAVE-SAINT-MARTIN,8863362,63,34,16
DE HOEK,8814175,137,99,69
DE PANNE,8892338,563,420,561
DE PINTE,8892080,993,272,217
DEINZE,8892106,1.327,1.067,1.146
DELTA,8811205,199,-,-
DENDERLEEUW,8895802,4.483,1.539,1.380
DENDERMONDE,8893401,3.333,1.042,967
DIEGEM,8811213,669,252,179
DIEPENBEEK,8831112,283,106,138
DIEST,8831401,1.710,631,682
DIKSMUIDE,8892452,428,224,361
DILBEEK,8812237,460,61,37
DINANT,8863503,943,815,678
DOLHAIN-GILEPPE,8844545,140,22,51
DRONGEN,8892031,230,36,40
DUFFEL,8822210,528,228,132
DUINBERGEN,8891652,172,128,82
ECAUSSINNES,8883212,501,174,167
EDE,8895877,207,-,-
EEKLO,8893708,643,291,185
EICHEM,8895752,60,30,29
EINE,8892627,248,94,75
EKE-NAZARETH,8892650,290,89,45
EKEREN,8821071,611,220,240
ENGHIEN/EDINGEN,8883311,2.523,761,636
ENGIS,8843240,122,62,25
EPPEGEM,8822269,498,108,86
ERBISOEUL,8881158,65,11,12
EREMBODEGEM,8895091,578,201,164
ERNAGE,8861515,71,14,5
ERPE-MERE,8895471,41,-,-
ERPS-KWERPS,8811262,122,43,44
ERQUELINNES,8871605,200,76,47
ERQUELINNES-VILLAGE,8871647,36,27,19
ESNEUX,8842663,128,31,36
ESSEN,8821402,871,346,381
ESSENE-LOMBEEK,8812260,176,22,25
ETTERBEEK,8811411,4.264,819,767
EUPEN,8844628,205,162,152
EVERE,8811106,426,49,35
EVERGEM,8893252,254,61,20
EZEMAAL,8833449,122,121,96
FAMILLEUREUX,8883238,47,-,-
FARCIENNES,8874567,120,76,56
FAUX,8872611,86,25,17
FEXHE-LE-HT-CLOCHER,8841467,134,27,22
FLAWINNE,8861127,41,37,36
FLEMALLE-GRANDE,8843166,74,15,15
FLEMALLE-HAUTE,8843208,884,226,172
FLEURUS,8872413,297,114,95
FLOREFFE,8861135,149,51,44
FLORENVILLE,8866845,133,25,68
FLORIVAL,8811767,77,17,22
FONTAINE-VALMONT,8871688,72,28,14
FORCHIES,8871514,90,27,9
FOREST-EST/VORST-OOST,8814118,261,152,54
FOREST-MIDI/VORST-ZUID,8814373,197,42,18
FORRIERES,8864311,43,13,7
FRAIPONT,8844255,65,40,26
FRAMERIES,8881570,198,-,-
FRANCHIMONT,8844347,383,59,35
FRANIERE,8861143,96,58,51
FROYENNES,8885068,592,33,18
GALMAARDEN,8895620,225,43,36
GASTUCHE,8811742,168,51,50
GAVERE-ASPER,8892643,329,101,62
GEDINNE,8865649,96,53,57
GEEL,8832433,1.141,120,128
GEMBLOUX,8861200,3.095,1.197,952
GENDRON-CELLES,8863834,21,31,62
GENK,8831765,695,325,764
GENLY,8881562,85,-,-
GENTBRUGGE,8893179,317,137,89
GENT-DAMPOORT,8893120,4.183,1.516,1.271
GENT-SINT-PIETERS,8892007,25.717,13.211,12.766
GENVAL,8811528,915,274,256
GERAARDSBERGEN,8895505,2.093,627,581
GERMOIR/MOUTERIJ,8811403,324,53,51
GHLIN,8881125,30,-,-
GLONS,8841731,68,13,10
GODARVILLE,8871381,58,13,14
GODINNE,8863560,273,136,153
GONTRODE,8893047,88,36,28
GOUVY,8845005,211,64,133
GOUY-LEZ-PIETON,8871373,56,14,16
GRAIDE,8865615,49,28,72
GROENENDAAL,8811445,357,130,123
GROOT-BIJGAARDEN,8812229,332,44,39
GRUPONT,8864337,35,16,15
HAACHT,8822517,344,58,57
HAALTERT,8895869,240,91,88
HABAY,8866142,41,8,9
HAININ,8884327,66,35,12
HALANZY,8866530,56,-,-
HALLE,8814308,5.458,1.951,1.550
