code,uiccode,irailid
6,8895000,BE.NMBS.008895000
8,8891140,BE.NMBS.008891140
9,8833209,BE.NMBS.008833209
10,8892288,BE.NMBS.008892288
12,8886546,BE.NMBS.008886546
13,8892338,BE.NMBS.008892338
16,8874583,BE.NMBS.008874583
19,8831039,BE.NMBS.008831039
22,8843331,BE.NMBS.008843331
24,8843323,BE.NMBS.008843323
25,8863404,BE.NMBS.008863404
26,8891702,BE.NMBS.008891702
27,8842002,BE.NMBS.008842002
28,8891702,BE.NMBS.008891702
30,8821048,BE.NMBS.008821048
31,8841202,BE.NMBS.008841202
33,8811254,BE.NMBS.008811254
34,8863818,BE.NMBS.008863818
35,8885522,BE.NMBS.008885522
37,8821006,BE.NMBS.008821006
38,8821030,BE.NMBS.008821030
58,8821089,BE.NMBS.008821089
61,8821022,BE.NMBS.008821022
64,8821196,BE.NMBS.008821196
66,8892734,BE.NMBS.008892734
67,8895745,BE.NMBS.008895745
68,8811759,BE.NMBS.008811759
70,8866001,BE.NMBS.008866001
74,8812070,BE.NMBS.008812070
75,8864931,BE.NMBS.008864931
77,8886009,BE.NMBS.008886009
78,8866605,BE.NMBS.008866605
79,8869047,BE.NMBS.008869047
82,8874716,BE.NMBS.008874716
83,8869088,BE.NMBS.008869088
84,8842754,BE.NMBS.008842754
100,8864352,BE.NMBS.008864352
102,8822160,BE.NMBS.008822160
104,8895125,BE.NMBS.008895125
105,8895257,BE.NMBS.008895257
106,8895240,BE.NMBS.008895240
107,8832045,BE.NMBS.008832045
110,8895463,BE.NMBS.008895463
114,8864451,BE.NMBS.008864451
118,8843430,BE.NMBS.008843430
120,8811734,BE.NMBS.008811734
121,8883436,BE.NMBS.008883436
126,8863867,BE.NMBS.008863867
127,8891124,BE.NMBS.008891124
128,8814423,BE.NMBS.008814423
130,8894151,BE.NMBS.008894151
132,8821865,BE.NMBS.008821865
133,8871183,BE.NMBS.008871183
136,8891157,BE.NMBS.008891157
138,8894433,BE.NMBS.008894433
139,8821121,BE.NMBS.008821121
142,8821816,BE.NMBS.008821816
143,8832227,BE.NMBS.008832227
146,8865300,BE.NMBS.008865300
147,8873320,BE.NMBS.008873320
148,8861424,BE.NMBS.008861424
153,8811718,BE.NMBS.008811718
155,8841319,BE.NMBS.008841319
157,8831138,BE.NMBS.008831138
158,8882362,BE.NMBS.008882362
160,8896388,BE.NMBS.008896388
165,8889045,BE.NMBS.008889045
166,8891405,BE.NMBS.008891405
167,8861531,BE.NMBS.008861531
169,8884715,BE.NMBS.008884715
171,8841434,BE.NMBS.008841434
177,8821634,BE.NMBS.008821634
183,8811437,BE.NMBS.008811437
184,8831781,BE.NMBS.008831781
185,8864469,BE.NMBS.008864469
187,8821857,BE.NMBS.008821857
188,8822814,BE.NMBS.008822814
189,8814456,BE.NMBS.008814456
190,8822475,BE.NMBS.008822475
191,8811163,BE.NMBS.008811163
192,8822772,BE.NMBS.008822772
195,8884319,BE.NMBS.008884319
199,8821725,BE.NMBS.008821725
201,8881463,BE.NMBS.008881463
203,8814258,BE.NMBS.008814258
205,8883006,BE.NMBS.008883006
208,8843901,BE.NMBS.008843901
209,8886066,BE.NMBS.008886066
210,8891009,BE.NMBS.008891009
212,8891033,BE.NMBS.008891033
215,8813003,BE.NMBS.008813003
216,8813045,BE.NMBS.008813045
217,8813037,BE.NMBS.008813037
218,8811304,BE.NMBS.008811304
219,8819406,BE.NMBS.008819406
220,8814001,BE.NMBS.008814001
221,8812005,BE.NMBS.008812005
223,8815040,BE.NMBS.008815040
227,8811916,BE.NMBS.008811916
229,8811148,BE.NMBS.008811148
231,8822145,BE.NMBS.008822145
232,8814340,BE.NMBS.008814340
235,8895455,BE.NMBS.008895455
243,8812211,BE.NMBS.008812211
246,8884889,BE.NMBS.008884889
247,8886074,BE.NMBS.008886074
249,8865565,BE.NMBS.008865565
250,8882248,BE.NMBS.008882248
252,8811817,BE.NMBS.008811817
255,8861317,BE.NMBS.008861317
257,8864824,BE.NMBS.008864824
258,8872066,BE.NMBS.008872066
259,8872009,BE.NMBS.008872009
261,8861523,BE.NMBS.008861523
262,8863438,BE.NMBS.008863438
263,8874005,BE.NMBS.008874005
266,8842036,BE.NMBS.008842036
267,8842051,BE.NMBS.008842051
272,8864501,BE.NMBS.008864501
277,8842838,BE.NMBS.008842838
278,8896412,BE.NMBS.008896412
281,8874054,BE.NMBS.008874054
286,8871225,BE.NMBS.008871225
287,8864949,BE.NMBS.008864949
288,8873379,BE.NMBS.008873379
289,8811825,BE.NMBS.008811825
291,8875127,BE.NMBS.008875127
313,8863362,BE.NMBS.008863362
316,8814175,BE.NMBS.008814175
317,8892106,BE.NMBS.008892106
318,8895802,BE.NMBS.008895802
319,8893401,BE.NMBS.008893401
320,8892080,BE.NMBS.008892080
324,8831112,BE.NMBS.008831112
325,8811213,BE.NMBS.008811213
326,8831401,BE.NMBS.008831401
327,8892452,BE.NMBS.008892452
328,8812237,BE.NMBS.008812237
329,8863503,BE.NMBS.008863503
331,8844545,BE.NMBS.008844545
335,8892031,BE.NMBS.008892031
336,8822210,BE.NMBS.008822210
337,8891652,BE.NMBS.008891652
341,8400280,BE.NMBS.008400280
342,8883212,BE.NMBS.008883212
345,8895877,BE.NMBS.008895877
346,8893708,BE.NMBS.008893708
347,8895752,BE.NMBS.008895752
348,8892627,BE.NMBS.008892627
351,8892650,BE.NMBS.008892650
352,8821071,BE.NMBS.008821071
360,8883311,BE.NMBS.008883311
361,8843240,BE.NMBS.008843240
363,8822269,BE.NMBS.008822269
364,8881158,BE.NMBS.008881158
365,8895091,BE.NMBS.008895091
366,8861515,BE.NMBS.008861515
367,8895471,BE.NMBS.008895471
368,8811262,BE.NMBS.008811262
369,8871605,BE.NMBS.008871605
370,8879004,BE.NMBS.008879004
371,8871647,BE.NMBS.008871647
375,8842663,BE.NMBS.008842663
376,8821402,BE.NMBS.008821402
377,8829009,BE.NMBS.008829009
378,8812260,BE.NMBS.008812260
380,8811411,BE.NMBS.008811411
382,8844628,BE.NMBS.008844628
383,8811106,BE.NMBS.008811106
384,8833449,BE.NMBS.008833449
391,8883238,BE.NMBS.008883238
392,8874567,BE.NMBS.008874567
395,8872611,BE.NMBS.008872611
399,8841467,BE.NMBS.008841467
400,8861127,BE.NMBS.008861127
401,8843166,BE.NMBS.008843166
402,8843208,BE.NMBS.008843208
404,8872413,BE.NMBS.008872413
405,8864923,BE.NMBS.008864923
406,8861135,BE.NMBS.008861135
409,8866845,BE.NMBS.008866845
410,8811767,BE.NMBS.008811767
412,8871688,BE.NMBS.008871688
413,8871514,BE.NMBS.008871514
414,8814118,BE.NMBS.008814118
415,8814373,BE.NMBS.008814373
418,8864311,BE.NMBS.008864311
421,8844255,BE.NMBS.008844255
422,8881570,BE.NMBS.008881570
423,8844347,BE.NMBS.008844347
424,8861143,BE.NMBS.008861143
427,8885068,BE.NMBS.008885068
432,8895620,BE.NMBS.008895620
433,8811742,BE.NMBS.008811742
434,8892643,BE.NMBS.008892643
435,8865649,BE.NMBS.008865649
436,8832433,BE.NMBS.008832433
438,8861200,BE.NMBS.008861200
442,8863834,BE.NMBS.008863834
446,8881562,BE.NMBS.008881562
447,8893179,BE.NMBS.008893179
449,8893120,BE.NMBS.008893120
455,8892007,BE.NMBS.008892007
457,8811528,BE.NMBS.008811528
458,8895505,BE.NMBS.008895505
459,8844420,BE.NMBS.008844420
462,8881125,BE.NMBS.008881125
470,8841731,BE.NMBS.008841731
471,8871381,BE.NMBS.008871381
472,8863560,BE.NMBS.008863560
474,8893047,BE.NMBS.008893047
477,8845005,BE.NMBS.008845005
